No Tiket,Nama Service,SID,Produk,Bandwith,Tiket Open,Tiket Close,Stop Clock (Durasi),Durasi (Jam),Durasi (Menit),Penyebab,Action,Kategori Layanan,Unit PLN Pengguna,Jenis Gangguan,Detail Gangguan,Lokasi Gangguan,source_file,penyebab_norm,Lokasi_GI,Lokasi_POP,Lokasi_KM,Lokasi_Risiko,kategori_risiko,bulan
EMUM8MD3,[UIP3BS - UPT PEMATANG SIANTAR] GI LABUHAN ANGIN (SCADA),990000320272581,IP VPN,1Mbps,2024-02-01 13:25:00,2024-02-01 19:12:00,0.0,0 days 05:47:00,346.99999999953434,GANGGUAN PUTUS KABEL FO DIJARAK  3.5 KM DARI POP SIBOLGA  ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: SIBOLGA | KM: 3.5,202402.xlsx,gangguan putus kabel fo dijarak 3 5 km dari pop sibolga action penyambungan kabel fo,,SIBOLGA,3.5,SIBOLGA,High,2024-02
EMUMXR52,[UIP3BS - UPT PEMATANG SIANTAR] GI LABUHAN ANGIN,990000320307855,IP VPN,1Mbps,2024-02-01 13:25:00,2024-02-01 19:12:00,0.0,0 days 05:47:00,346.99999999953434,"GANGGUAN PUTUS KABEL FO DIJARAK 3,5 KM DARI POP SIBOLGA KE ARAH LASTMILE ACTION : PENYAMBUNGAN KABEL FO",PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: SIBOLGA | KM: 3.5,202402.xlsx,gangguan putus kabel fo dijarak 3 5 km dari pop sibolga ke arah lastmile action penyambungan kabel fo,,SIBOLGA,3.5,SIBOLGA,High,2024-02
EM2QZQTN,[UID SUMUT - UP3 MEDAN UTARA] ULP DENAI,1000185130,IP VPN,1Mbps,2024-02-05 17:21:00,2024-02-06 01:56:00,99.0,0 days 06:56:00,416.0000000023283,"GANGGUAN PUTUS CORE DIJARAK 2 KM DARI LASTMILE , ACTION PENYAMBUNGAN CORE",PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 2,202402.xlsx,gangguan putus core dijarak 2 km dari lastmile action penyambungan core,,,2.0,,,2024-02
EM2QNYYL,[UID SUMUT - UP3 NIAS] ULP GUNUNG SITOLI,1000356531,IP VPN,1Mbps,2024-02-06 15:52:00,2024-02-06 17:57:00,0.0,0 days 02:05:00,124.99999999883585,GANGGUAN SOFTWARE DI SISI POP RANTING NATAL  ACTION : PERBAIKAN SOFTWARE,PERBAIKAN SOFTWARE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: RANTING NATAL | KM: -,202402.xlsx,gangguan software di sisi pop ranting natal action perbaikan software,,RANTING NATAL,,RANTING NATAL,Medium,2024-02
EM2WTSZD,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP NATAL,990000320314749,IP VPN,1Mbps,2024-02-07 13:52:00,2024-02-07 13:54:00,0.0,0 days 00:02:00,2.000000006519258,GANGGUAN PUTUS CORE DIJARAK 27 KM DARI POP NATAL. ACTION :BACKUP GSM.,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: NATAL  | KM: 27,202402.xlsx,gangguan putus core dijarak 27 km dari pop natal action backup gsm,,NATAL ,27.0,NATAL ,Low,2024-02
EM2WGHHR,[UID SUMUT - UP3 MEDAN UTARA] ULP BELAWAN,10000027240010,IP VPN,1Mbps,2024-02-09 02:14:00,2024-02-09 07:31:00,0.0,0 days 05:17:00,317.00000000651926,GANGGUAN LOSS POWER DISISI POP BELAWAN AKIBAT MCB PROBLEM  ACTION: PERBAIKAN LOSS POWER,PERBAIKAN LOSS POWER,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,POWER,UNKNOWN,GI: - | POP: BELAWAN | KM: -,202402.xlsx,gangguan loss power disisi pop belawan akibat mcb problem action perbaikan loss power,,BELAWAN,,BELAWAN,High,2024-02
EM2W9QLU,[UIP3BS - UPT MEDAN] GI KUALA NAMU,990000320315141,IP VPN,1Mbps,2024-02-10 11:50:00,2024-02-10 13:42:00,0.0,0 days 01:52:00,111.9999999983702,GANGGUAN PUTUS CORE DI JARAK 3 KM DARI POP KUALANAMU KE ARAH LASTMILE ACTION = PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: KUALANAMU | KM: 3,202402.xlsx,gangguan putus core di jarak 3 km dari pop kualanamu ke arah lastmile action penyambungan core,,KUALANAMU,3.0,KUALANAMU,Medium,2024-02
EM2WN2SV,[UID SUMUT - UP3 MEDAN] ULP DELI TUA,10000027240019,IP VPN,1Mbps,2024-02-11 02:13:00,2024-02-11 03:21:00,0.0,0 days 01:08:00,67.99999999115244,GANGGUAN PUTUS CORE DI JARAK 130 METER DARI LASTMILE   ACTION = PERBAIKAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan putus core di jarak 130 meter dari lastmile action perbaikan core,,,,,,2024-02
EM2ER69B,[UID SUMUT - UP3 RANTAU PRAPAT] ULP AEK NABARA,990000020276840,IP VPN,1Mbps,2024-02-12 08:10:00,2024-02-12 10:58:00,0.0,0 days 02:48:00,167.9999999923166,GANGGUAN PERANGKAT MODUL SFP DI POP RANTAUPRAPAT  ACTION : PERBAIKAN PERANGKAT MODUL SFP,PERBAIKAN SFP,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: RANTAUPRAPAT | KM: -,202402.xlsx,gangguan perangkat modul sfp di pop rantauprapat action perbaikan perangkat modul sfp,,RANTAUPRAPAT,,RANTAUPRAPAT,Medium,2024-02
EM2EYZVY,[UID SUMUT - UP3 RANTAU PRAPAT] ULP AEK NABARA,990000020276840,IP VPN,1Mbps,2024-02-12 13:53:00,2024-02-12 17:42:00,0.0,0 days 03:49:00,229.0000000025612,GANGGUAN JALUR SEGMENT POP RANTAU.PRAPAT ACTION : REROUTE JALUR,REROUTE JALUR,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: RANTAU PRAPAT | KM: -,202402.xlsx,gangguan jalur segment pop rantau prapat action reroute jalur,,RANTAU PRAPAT,,RANTAU PRAPAT,High,2024-02
EM2EUP9C,[UID SUMUT - UP3 MEDAN UTARA] ULP BELAWAN,10000027240010,IP VPN,1Mbps,2024-02-12 15:22:00,2024-02-12 19:55:00,0.0,0 days 04:33:00,272.9999999993015,GANGGUAN PUTUS  CORE DI JOIN BOX DEPAN POP -BELAWAN ACTION : MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan putus core di join box depan pop belawan action manuver core,,,,,,2024-02
EM2EFCQD,[UIP3BS - UPT MEDAN] GI GUNUNG SITOLI,1000121065,IP VPN,2Mbps,2024-02-13 15:46:00,2024-02-13 19:10:00,0.0,0 days 03:24:00,203.9999999944121,GANGGUAN LOSS POWER DI POP GUNUNG SITOLI ACTION : PERBAIKAN LOSS POWER,PERBAIKAN LOSS POWER,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,POWER,UNKNOWN,GI: - | POP: GUNUNG SITOLI | KM: -,202402.xlsx,gangguan loss power di pop gunung sitoli action perbaikan loss power,,GUNUNG SITOLI,,GUNUNG SITOLI,High,2024-02
EM2EL9VN,[UID SUMUT - UP3 BINJAI] ULP KUALA,10000027240021,IP VPN,1Mbps,2024-02-14 22:20:00,2024-02-15 12:58:00,310.0,0 days 09:28:00,568.0000000016298,GANGGUAN PUTUS CORE DI JARAK 9 KM DARI POP BINJAI   ACTION : BACKUP GSM,BACKUP GSM,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: BINJAI | KM: 9,202402.xlsx,gangguan putus core di jarak 9 km dari pop binjai action backup gsm,,BINJAI,9.0,BINJAI,High,2024-02
EM2EN2RR,[UID SUMUT] UP3 PEMATANG SIANTAR,10000027240023,IP VPN,6Mbps,2024-02-16 08:45:00,2024-02-16 13:01:00,0.0,0 days 04:16:00,255.9999999962747,GANGGUAN MODUL SFP DI LASTMILE  ACTION : PENGGANTIAN MODUL SFP,PENGGANTIAN SFP,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,LASTMILE,UNKNOWN,GI: - | POP: - | KM: -,202402.xlsx,gangguan modul sfp di lastmile action penggantian modul sfp,,,,,,2024-02
